BernoulliNB,0,1
Metrics
Precision,0.7893
Recall,0.8427
F1score,0.8150
Auc,0.8362

GradientBoostingClassifier,0,1
Metrics
Precision,0.9648
Recall,0.9667
F1score,0.9658
Auc,0.9700

KNN,0,1
Metrics
Precision,0.9646
Recall,0.9721
F1score,0.9683
Auc,0.9725

