BernoulliNB,0,1
Metrics
Precision,0.7930
Recall,0.8422
F1score,0.8167
Auc,0.8379

GradientBoostingClassifier,0,1
Metrics
Precision,0.9657
Recall,0.9663
F1score,0.9659
Auc,0.9701

KNN,0,1
Metrics
Precision,0.9655
Recall,0.9713
F1score,0.9684
Auc,0.9726

