BernoulliNB,0,1
Metrics
Precision,0.7437
Recall,0.7284
F1score,0.7116
Auc,0.9222

GradientBoostingClassifier,0,1
Metrics
Precision,0.9366
Recall,0.9226
F1score,0.9282
Auc,0.9952

KNN,0,1
Metrics
Precision,0.9317
Recall,0.9394
F1score,0.9345
Auc,0.9855

